aX,aY,aZ
-0.456,-0.910,0.024
-0.463,-0.908,0.022
-0.462,-0.905,0.021
-0.463,-0.903,0.022
-0.460,-0.905,0.020
-0.457,-0.909,0.020
-0.460,-0.911,0.019
-0.460,-0.909,0.020
-0.458,-0.907,0.020
-0.465,-0.905,0.021
-0.464,-0.904,0.018
-0.463,-0.907,0.020
-0.465,-0.902,0.025
-0.458,-0.906,0.023
-0.465,-0.910,0.017
-0.455,-0.911,0.019
-0.451,-0.908,0.016
-0.458,-0.908,0.009
-0.455,-0.906,0.013
-0.440,-0.917,-0.023
-0.462,-0.899,0.047
-0.453,-0.912,0.007
-0.451,-0.903,0.017
-0.455,-0.908,0.012
-0.461,-0.902,0.018
-0.458,-0.904,0.018
-0.463,-0.904,0.020
-0.464,-0.907,0.015
-0.467,-0.935,-0.061
-0.471,-0.897,0.052
-0.462,-0.907,0.012
-0.464,-0.917,-0.019
-0.449,-0.899,0.044
-0.456,-0.908,0.013
-0.460,-0.912,0.012
-0.447,-0.915,-0.008
-0.458,-0.902,0.036
-0.454,-0.903,0.022
-0.455,-0.907,0.012
-0.448,-0.906,0.021
-0.453,-0.910,0.017
-0.460,-0.910,0.013
-0.461,-0.903,0.025
-0.460,-0.905,0.016
-0.462,-0.903,0.016
-0.461,-0.905,0.017
-0.457,-0.908,0.018
-0.457,-0.908,0.019
-0.463,-0.908,0.021
-0.459,-0.909,0.021
-0.460,-0.907,0.017
-0.459,-0.905,0.019
-0.457,-0.905,0.016
-0.463,-0.909,0.014
-0.460,-0.908,0.017
-0.460,-0.907,0.022
-0.458,-0.907,0.022
-0.455,-0.904,0.023
-0.461,-0.908,0.020
-0.463,-0.911,0.019
-0.461,-0.906,0.018
-0.458,-0.907,0.022
-0.461,-0.905,0.019
-0.460,-0.910,0.021
-0.456,-0.906,0.022
-0.457,-0.906,0.020
-0.457,-0.907,0.022
-0.457,-0.910,0.023
-0.460,-0.907,0.020
-0.458,-0.906,0.018
-0.459,-0.906,0.019
-0.459,-0.904,0.017
-0.460,-0.907,0.016
-0.458,-0.911,0.018
-0.459,-0.912,0.017
-0.456,-0.912,0.018
-0.457,-0.908,0.020
-0.462,-0.903,0.018
-0.463,-0.904,0.016
-0.463,-0.905,0.019
-0.457,-0.906,0.023
-0.461,-0.908,0.028
-0.461,-0.903,0.022
-0.459,-0.903,0.019
-0.458,-0.908,0.025
-0.457,-0.911,0.019
-0.455,-0.911,0.017
-0.459,-0.910,0.016
-0.459,-0.910,0.015
-0.453,-0.910,0.015
-0.452,-0.906,0.022
-0.454,-0.908,0.018
-0.456,-0.903,0.020
-0.460,-0.903,0.020
-0.459,-0.898,0.018
-0.464,-0.907,0.018
-0.461,-0.913,0.020
-0.461,-0.903,0.021
-0.465,-0.907,0.023
-0.467,-0.915,-0.004
-0.465,-0.908,0.019
-0.456,-0.909,0.017
-0.458,-0.904,0.022
-0.457,-0.908,0.022
-0.455,-0.909,0.019
-0.455,-0.909,0.018
-0.457,-0.907,0.020
-0.458,-0.908,0.018
-0.458,-0.907,0.019
-0.458,-0.908,0.020
-0.459,-0.907,0.021
-0.461,-0.908,0.017
-0.459,-0.908,0.020
-0.459,-0.908,0.017
-0.457,-0.906,0.019
-0.458,-0.907,0.017
-0.459,-0.912,0.017
-0.458,-0.904,0.016
-0.456,-0.908,0.019
-0.454,-0.907,0.017
-0.458,-0.906,0.018
-0.459,-0.907,0.020
-0.453,-0.908,0.019
-0.458,-0.905,0.019
-0.455,-0.907,0.020
-0.458,-0.906,0.020
-0.463,-0.908,0.022
-0.460,-0.908,0.019
-0.459,-0.906,0.018
-0.461,-0.939,-0.053
-0.459,-0.917,0.021
-0.448,-0.907,0.037
-0.466,-0.906,0.018
-0.464,-0.907,0.025
-0.464,-0.909,0.020
-0.452,-0.907,0.022
-0.462,-0.909,0.024
-0.453,-0.900,0.032
-0.460,-0.904,0.021
-0.460,-0.904,0.020
-0.454,-0.909,0.016
-0.455,-0.907,0.020
-0.460,-0.905,0.020
-0.460,-0.910,0.018
-0.471,-0.907,0.001
-0.459,-0.905,0.027
-0.458,-0.907,0.023
-0.455,-0.908,0.019
-0.457,-0.909,0.020
-0.458,-0.907,0.020
-0.458,-0.906,0.019
-0.458,-0.906,0.019
-0.457,-0.906,0.019
-0.456,-0.909,0.021
-0.459,-0.907,0.020
-0.461,-0.906,0.020
-0.452,-0.907,0.010
-0.455,-0.913,0.026
-0.457,-0.910,0.019
-0.458,-0.905,0.020
-0.458,-0.907,0.018
-0.455,-0.907,0.022
-0.459,-0.901,0.020
-0.457,-0.904,0.027
-0.458,-0.914,0.019
-0.460,-0.908,0.018
-0.463,-0.910,0.019
-0.459,-0.909,0.019
-0.453,-0.905,0.017
-0.451,-0.902,0.039
-0.453,-0.907,0.028
-0.461,-0.905,0.025
-0.464,-0.905,0.020
-0.461,-0.905,0.023
-0.457,-0.907,0.021
-0.459,-0.909,0.026
-0.459,-0.907,0.024
-0.458,-0.906,0.024
-0.459,-0.905,0.020
-0.457,-0.907,0.022
-0.459,-0.907,0.023
-0.460,-0.906,0.017
-0.456,-0.909,0.021
-0.461,-0.909,0.020
-0.458,-0.908,0.022
-0.459,-0.906,0.020
-0.460,-0.908,0.020
-0.458,-0.908,0.023
-0.458,-0.906,0.022
-0.459,-0.908,0.021
-0.459,-0.908,0.023
-0.459,-0.908,0.023
-0.458,-0.906,0.022
-0.461,-0.907,0.022
-0.461,-0.906,0.022
-0.459,-0.907,0.024
-0.456,-0.907,0.023
-0.459,-0.907,0.021
-0.457,-0.906,0.020
-0.459,-0.908,0.020
-0.458,-0.910,0.023
-0.452,-0.909,0.028
-0.499,-0.893,0.065
-0.469,-0.904,0.025
-0.467,-0.905,0.020
-0.460,-0.915,0.006
-0.455,-0.909,0.015
-0.460,-0.907,0.022
-0.460,-0.908,0.018
-0.454,-0.908,0.016
-0.455,-0.909,0.016
-0.457,-0.908,0.020
-0.453,-0.909,0.015
-0.458,-0.910,0.013
-0.461,-0.912,0.012
-0.463,-0.912,0.014
-0.462,-0.901,0.018
-0.457,-0.902,0.015
-0.453,-0.902,0.016
-0.455,-0.906,0.017
-0.458,-0.908,0.018
-0.458,-0.907,0.020
-0.460,-0.907,0.020
-0.462,-0.911,0.018
-0.457,-0.910,0.018
-0.457,-0.906,0.015
-0.459,-0.908,0.015
-0.460,-0.910,0.014
-0.460,-0.907,0.016
-0.457,-0.909,0.016
-0.457,-0.909,0.016
-0.460,-0.907,0.012
-0.456,-0.908,0.013
-0.456,-0.907,0.014
-0.461,-0.903,0.017
-0.462,-0.907,0.008
-0.461,-0.908,0.012
-0.455,-0.914,0.010
-0.459,-0.899,0.020
-0.452,-0.902,0.016
-0.460,-0.903,0.017
-0.459,-0.908,0.015
-0.457,-0.906,0.015
-0.459,-0.911,0.013
-0.459,-0.910,0.018
-0.460,-0.909,0.016
-0.458,-0.908,0.016
-0.457,-0.907,0.017
-0.456,-0.906,0.014
-0.455,-0.906,0.014
-0.455,-0.906,0.016
-0.459,-0.912,0.013
-0.448,-0.904,0.014
-0.456,-0.906,0.011
-0.457,-0.904,0.010
-0.455,-0.907,0.012
-0.454,-0.908,0.011
-0.459,-0.914,0.002
-0.455,-0.909,0.011
-0.456,-0.909,0.012
-0.455,-0.909,0.012
-0.456,-0.911,0.011
-0.458,-0.905,0.017
-0.457,-0.908,0.010
-0.455,-0.915,0.007
-0.455,-0.911,0.011
-0.453,-0.910,0.014
-0.457,-0.909,0.007
-0.460,-0.907,0.017
-0.457,-0.908,0.006
-0.457,-0.908,0.007
-0.455,-0.905,0.009
-0.456,-0.907,0.011
-0.471,-0.918,0.000
-0.462,-0.907,0.014
-0.456,-0.906,0.016
-0.459,-0.906,0.011
-0.458,-0.907,0.012
-0.455,-0.908,0.013
-0.458,-0.908,0.013
-0.460,-0.910,0.014
-0.458,-0.908,0.013
-0.454,-0.907,0.013
-0.455,-0.910,0.007
-0.458,-0.903,0.019
-0.459,-0.907,0.009
-0.455,-0.905,0.013
-0.458,-0.907,0.009
-0.456,-0.906,0.010
-0.460,-0.904,0.014
-0.461,-0.908,0.012
-0.455,-0.910,0.011
-0.455,-0.908,0.012
-0.458,-0.905,0.009
-0.457,-0.908,0.012
-0.457,-0.908,0.013
-0.460,-0.908,0.014
-0.459,-0.906,0.013
-0.459,-0.911,0.014
-0.460,-0.912,0.012
-0.456,-0.908,0.015
-0.457,-0.906,0.010
-0.455,-0.908,0.010
-0.453,-0.906,0.010
-0.457,-0.909,0.011
-0.458,-0.909,0.011
-0.455,-0.911,0.010
-0.453,-0.909,0.013
-0.458,-0.907,0.012
-0.456,-0.909,0.013
-0.457,-0.908,0.010
-0.456,-0.909,0.014
-0.459,-0.908,0.013
-0.455,-0.910,0.013
-0.457,-0.909,0.011
-0.460,-0.907,0.012
-0.455,-0.907,0.011
-0.454,-0.906,0.013
-0.455,-0.907,0.017
-0.458,-0.909,0.009
-0.459,-0.905,0.019
-0.463,-0.908,0.015
-0.458,-0.906,0.010
-0.456,-0.907,0.014
-0.455,-0.908,0.014
-0.457,-0.905,0.015
-0.459,-0.907,0.014
-0.459,-0.907,0.021
-0.457,-0.909,0.018
-0.457,-0.913,0.015
-0.457,-0.910,0.013
-0.460,-0.907,0.019
-0.462,-0.906,0.020
-0.468,-0.905,0.020
-0.462,-0.903,0.019
-0.459,-0.904,0.018
-0.457,-0.906,0.015
-0.459,-0.908,0.013
-0.460,-0.912,0.013
-0.455,-0.909,0.014
-0.451,-0.909,0.016
-0.453,-0.905,0.013
-0.457,-0.906,0.016
-0.450,-0.899,0.016
-0.456,-0.906,0.014
-0.463,-0.906,0.020
-0.462,-0.910,0.017
-0.462,-0.906,0.019
-0.461,-0.906,0.017
-0.460,-0.907,0.017
-0.459,-0.906,0.015
-0.461,-0.906,0.017
-0.460,-0.906,0.018
-0.457,-0.905,0.018
-0.458,-0.907,0.019
-0.458,-0.906,0.019
-0.466,-0.906,0.017
-0.460,-0.904,0.015
-0.453,-0.914,0.006
-0.441,-0.915,0.008
-0.447,-0.911,0.018
-0.457,-0.904,0.014
-0.465,-0.902,0.014
-0.462,-0.903,0.024
-0.460,-0.904,0.020
-0.457,-0.910,0.018
-0.460,-0.908,0.014
-0.458,-0.904,0.016
-0.461,-0.909,0.014
-0.458,-0.909,0.015
-0.458,-0.905,0.017
-0.458,-0.906,0.016
-0.459,-0.908,0.017
-0.457,-0.908,0.016
-0.461,-0.905,0.021
-0.461,-0.906,0.023
-0.458,-0.909,0.016
-0.456,-0.909,0.014
-0.456,-0.911,0.013
-0.456,-0.905,0.013
-0.459,-0.905,0.015
-0.458,-0.904,0.014
-0.461,-0.908,0.018
-0.461,-0.908,0.017
-0.461,-0.910,0.015
-0.457,-0.908,0.016
-0.456,-0.907,0.016
-0.459,-0.908,0.016
-0.458,-0.909,0.017
-0.456,-0.908,0.016
-0.458,-0.907,0.016
-0.458,-0.907,0.015
-0.458,-0.908,0.013
-0.458,-0.908,0.015
-0.457,-0.906,0.015
-0.456,-0.905,0.014
-0.458,-0.907,0.014
-0.456,-0.908,0.015
-0.459,-0.907,0.016
-0.457,-0.907,0.015
-0.457,-0.909,0.017
-0.458,-0.909,0.014
-0.460,-0.907,0.015
-0.457,-0.909,0.014
-0.457,-0.905,0.014
-0.457,-0.906,0.015
-0.457,-0.907,0.017
-0.459,-0.906,0.016
-0.461,-0.906,0.016
-0.458,-0.907,0.013
-0.458,-0.910,0.014
-0.459,-0.909,0.016
-0.459,-0.909,0.015
-0.457,-0.907,0.014
-0.455,-0.906,0.013
-0.457,-0.906,0.015
-0.458,-0.908,0.017
-0.459,-0.907,0.015
-0.459,-0.907,0.015
-0.458,-0.908,0.015
-0.459,-0.907,0.015
-0.459,-0.906,0.014
-0.457,-0.905,0.017
-0.460,-0.907,0.016
-0.460,-0.907,0.016
-0.460,-0.908,0.015
-0.462,-0.907,0.018
-0.459,-0.906,0.018
-0.456,-0.908,0.016
-0.455,-0.907,0.019
-0.456,-0.906,0.019
-0.461,-0.909,0.017
-0.461,-0.910,0.015
-0.462,-0.910,0.011
-0.453,-0.905,0.013
-0.454,-0.905,0.015
-0.459,-0.907,0.010
-0.457,-0.905,0.008
-0.454,-0.905,0.013
-0.456,-0.908,0.013
-0.462,-0.908,0.018
-0.465,-0.905,0.018
-0.461,-0.906,0.019
-0.457,-0.908,0.018
-0.459,-0.906,0.016
-0.459,-0.909,0.015
-0.455,-0.907,0.017
-0.456,-0.908,0.016
-0.462,-0.911,0.014
-0.461,-0.907,0.013
-0.457,-0.902,0.017
-0.458,-0.903,0.010
-0.459,-0.909,0.006
-0.457,-0.907,0.012
-0.455,-0.904,0.013
-0.456,-0.906,0.014
-0.459,-0.909,0.015
-0.462,-0.909,0.019
-0.461,-0.908,0.016
-0.460,-0.909,0.014
-0.455,-0.909,0.012
-0.456,-0.907,0.012
-0.456,-0.909,0.014
-0.456,-0.906,0.015
-0.460,-0.907,0.018
-0.463,-0.906,0.015
-0.457,-0.905,0.013
-0.455,-0.907,0.011
-0.457,-0.907,0.013
-0.459,-0.907,0.010
-0.457,-0.908,0.015
-0.456,-0.906,0.015
-0.455,-0.908,0.012
-0.454,-0.908,0.013
-0.457,-0.908,0.017
-0.463,-0.908,0.019
-0.467,-0.910,0.017
-0.461,-0.909,0.015
-0.453,-0.904,0.017
-0.460,-0.909,0.010
-0.462,-0.908,0.011
-0.457,-0.907,0.013
-0.455,-0.904,0.014
-0.458,-0.906,0.015
-0.459,-0.905,0.016
-0.465,-0.908,0.008
-0.455,-0.908,0.011
-0.460,-0.909,0.011
-0.450,-0.904,0.015
-0.457,-0.909,0.012
-0.454,-0.908,0.018
-0.455,-0.911,0.015
-0.461,-0.913,0.007
-0.461,-0.909,0.011
-0.458,-0.908,0.015
-0.457,-0.909,0.017
-0.460,-0.909,0.013
-0.454,-0.907,0.012
-0.454,-0.904,0.014
-0.456,-0.909,0.013
-0.455,-0.907,0.011
-0.455,-0.910,0.008
-0.455,-0.909,0.009
-0.452,-0.911,0.006
-0.451,-0.910,0.013
-0.453,-0.908,0.015
-0.455,-0.905,0.016
-0.460,-0.910,0.017
-0.458,-0.908,0.017
-0.457,-0.909,0.019
-0.459,-0.907,0.024
-0.467,-0.907,0.019
-0.471,-0.897,0.019
-0.467,-0.897,0.016
-0.459,-0.909,0.016
-0.455,-0.907,0.015
-0.453,-0.904,0.015
-0.452,-0.904,0.017
-0.452,-0.910,0.020
-0.459,-0.902,0.021
-0.460,-0.914,0.011
-0.464,-0.912,0.012
-0.460,-0.910,0.010
-0.452,-0.905,0.012
-0.458,-0.905,0.015
-0.457,-0.904,0.014
-0.462,-0.907,0.020
-0.464,-0.906,0.018
-0.462,-0.908,0.019
-0.455,-0.910,0.014
-0.450,-0.909,0.012
-0.452,-0.910,0.007
-0.452,-0.911,0.004
-0.450,-0.912,0.006
-0.449,-0.909,0.011
-0.462,-0.908,0.013
-0.463,-0.907,0.014
-0.467,-0.899,0.018
-0.455,-0.914,0.010
-0.451,-0.904,0.006
-0.448,-0.911,0.011
-0.454,-0.915,0.017
-0.459,-0.906,0.014
-0.461,-0.906,0.013
-0.455,-0.915,0.013
-0.442,-0.903,0.014
-0.468,-0.917,0.014
-0.453,-0.903,0.008
-0.461,-0.905,0.005
-0.441,-0.903,0.012
-0.452,-0.906,0.007
-0.453,-0.885,0.016
-0.464,-0.925,0.006
-0.459,-0.918,0.012
-0.480,-0.934,0.004
-0.463,-0.906,0.005
-0.457,-0.898,0.010
-0.461,-0.901,0.012
-0.459,-0.902,0.011
-0.463,-0.889,0.003
-0.446,-0.904,0.015
-0.467,-0.943,0.000
-0.457,-0.899,0.021
-0.465,-0.905,0.014
-0.468,-0.901,0.013
-0.462,-0.897,0.015
-0.461,-0.901,0.003
-0.469,-0.908,0.006
-0.460,-0.907,0.013
-0.459,-0.907,0.017
-0.458,-0.908,0.018
-0.463,-0.908,0.014
-0.458,-0.904,0.010
-0.457,-0.907,0.012
-0.460,-0.911,0.013
-0.468,-0.900,0.024
-0.463,-0.902,0.006
-0.468,-0.900,0.016
-0.467,-0.901,0.017
-0.465,-0.907,0.017
-0.463,-0.906,0.021
-0.458,-0.911,0.020
-0.453,-0.903,0.017
-0.463,-0.907,0.017
-0.460,-0.904,0.018
-0.461,-0.905,0.011
-0.462,-0.903,0.017
-0.471,-0.905,0.015
-0.461,-0.905,0.022
-0.458,-0.903,0.016
-0.457,-0.911,0.013
-0.458,-0.902,0.020
-0.466,-0.908,0.030
-0.465,-0.897,0.007
-0.462,-0.895,0.014
-0.467,-0.904,0.009
-0.471,-0.907,0.022
-0.457,-0.908,0.019
-0.455,-0.906,0.014
-0.462,-0.902,0.018
-0.458,-0.903,0.024
-0.462,-0.907,0.030
-0.466,-0.906,0.018
-0.455,-0.908,0.015
-0.470,-0.918,-0.006
-0.469,-0.936,-0.035
-0.461,-0.920,-0.017
-0.456,-0.907,0.010
-0.459,-0.893,0.035
-0.459,-0.903,0.023
-0.463,-0.912,-0.010
-0.458,-0.922,-0.016
-0.456,-0.911,0.021
-0.459,-0.914,0.000
-0.454,-0.920,-0.022
-0.467,-0.873,0.050
-0.464,-0.905,0.015
-0.454,-0.913,0.028
-0.449,-0.917,0.021
-0.458,-0.918,0.024
-0.462,-0.910,0.025
-0.460,-0.909,0.027
-0.447,-0.909,0.024
-0.435,-0.909,0.019
-0.446,-0.907,0.020
-0.474,-0.905,0.028
-0.467,-0.909,0.012
-0.470,-0.907,0.027
-0.449,-0.912,0.018
-0.452,-0.906,0.026
-0.451,-0.913,0.009
-0.451,-0.904,0.024
-0.452,-0.909,0.034
-0.452,-0.907,0.026
-0.457,-0.915,0.024
-0.461,-0.917,0.032
-0.461,-0.915,0.027
-0.462,-0.905,0.026
-0.457,-0.899,0.037
-0.457,-0.908,0.021
-0.440,-0.925,-0.007
-0.466,-0.914,0.000
-0.454,-0.901,0.019
-0.489,-0.881,0.007
-0.464,-0.904,0.034
-0.458,-0.904,0.031
-0.461,-0.905,0.033
-0.457,-0.908,0.023
-0.458,-0.907,0.020
-0.453,-0.909,0.017
-0.458,-0.910,0.021
-0.456,-0.908,0.021
-0.454,-0.905,0.026
-0.463,-0.906,0.018
-0.459,-0.904,0.025
-0.468,-0.911,0.020
-0.457,-0.907,0.019
-0.460,-0.910,0.026
-0.454,-0.905,0.016
-0.459,-0.900,0.026
-0.462,-0.904,0.025
-0.463,-0.910,0.012
-0.461,-0.911,0.020
-0.464,-0.905,0.021
-0.438,-0.926,0.022
-0.462,-0.900,0.029
-0.463,-0.908,0.022
-0.456,-0.903,0.034
-0.465,-0.913,0.016
-0.457,-0.912,0.031
-0.450,-0.911,0.022
-0.458,-0.908,0.044
-0.459,-0.905,0.034
-0.450,-0.905,0.026
-0.456,-0.904,0.012
-0.463,-0.901,0.012
-0.465,-0.905,0.020
-0.457,-0.911,0.018
-0.466,-0.901,0.020
-0.451,-0.903,0.015
-0.458,-0.912,0.021
-0.463,-0.909,0.013
-0.462,-0.909,0.012
-0.455,-0.909,0.017
-0.459,-0.907,0.018
-0.457,-0.912,0.020
-0.460,-0.910,0.025
-0.457,-0.912,0.020
-0.456,-0.910,0.020
-0.460,-0.910,0.018
-0.459,-0.910,0.017
-0.458,-0.902,0.017
-0.452,-0.906,0.018
-0.457,-0.905,0.017
-0.459,-0.908,0.019
-0.453,-0.919,0.026
